# K1-KAMPSETT — LÅST 14. sep 2026. Denne FILA er fasit, ikke regelen under.
#
# HVORFOR: helporten i treningsløkka valgte nettsett på K1 målt på ALLE de 2641
# rundene i disse 273 kampene, iterasjon etter iterasjon. Det er seleksjon på
# testsettet: elleve iterasjoner pluss løsrevne målinger på samme sett, med
# SE ±0,20, gir et forventet maksimum av ren støy på ~+0,3 pp — hele størrelsen
# på «forbedringen» fra 1,01 til 1,24.
#
#   utvalg   porten får se. Alle valg av nettsett tas her.
#   holdout  porten ser den ALDRI. Ren rapport, aldri en beslutning.
#
# REGELEN SOM LAGET LISTA (kjørt én gang, aldri igjen):
#   bland(fnv("k1sett:" + spill)) % 100 < 50  →  utvalg, ellers holdout
#   fnv = FNV-1a 32 bit; bland = murmur3 fmix32. Blandingen er ikke pynt:
#   examples/menneske-logg.ts dokumenterer at rå FNV ikke blander de LAVE
#   bitene, og at fnv("hold:"+id) % 4 la ALLE 76 holdout-kampene i halvdel 1.
#
# 50/50 og ikke 60/40: holdouten skal kunne SE en forskjell. Målt på de lagrede
# rundene er parret SE for iter10−iter7 0,22 på 50/50-holdouten mot 0,26 på
# 60/40-holdouten. Porten tåler et litt mindre utvalg bedre enn rapporten tåler
# en blind holdout.
#
# KAMPENE er de 273 fra 10. aug 2026 som finnes i alle iterasjonene iter1..iter10
# (kontrollert: identiske mengder). ENDRES LISTA, er ingen tall sammenliknbare
# med noe eldre — da må den få nytt navn.
spill	sett
7k7v3qmc	utvalg
808uuz7d	utvalg
82eid30d	utvalg
87f42tch	utvalg
88icd6pj	holdout
8cevkjt0	holdout
8ggww5uf	utvalg
8jkv009k	utvalg
8k42woyb	holdout
8m2cazhh	utvalg
8qpexnqn	utvalg
97gojod5	holdout
99o4oocr	holdout
9cavgip2	holdout
9h8irv2w	utvalg
9hpxrjre	holdout
9hxkapfw	holdout
9ixl4r1n	holdout
9smvmoch	utvalg
a2491del	utvalg
a4rb0k4j	utvalg
a571hax9	holdout
a8axtqnv	utvalg
a9w38hmm	holdout
abbqr0c7	utvalg
abuvamnq	utvalg
ae67hj16	holdout
afse47l8	utvalg
aih31lnw	utvalg
aoes19pe	holdout
aoo7kvzz	utvalg
ap4jdhyu	holdout
apsgnju4	utvalg
aqwve4m4	holdout
are5lxg6	utvalg
b03s3ewz	holdout
b5y7j07q	utvalg
bbu9bjyu	utvalg
bdghfize	holdout
bi42njnq	utvalg
bn4zf15z	utvalg
bs3g0fl0	utvalg
bs3lq172	utvalg
bs89tpfh	utvalg
btkqn5d1	utvalg
bw7ybrod	holdout
bw8rdpix	utvalg
bxgfqht5	utvalg
bz5fkm32	utvalg
c3jva8o0	holdout
c748y9tf	utvalg
c9jb6enq	utvalg
cavjazx3	holdout
cg9j5fsp	utvalg
chpwnwk4	utvalg
cqk04yo5	holdout
csh3tl15	holdout
cx4hxtlj	holdout
dct729x0	holdout
dk1vy7ct	utvalg
dpxcgrn1	utvalg
drzyl1i2	utvalg
dyeqi2yf	utvalg
dza9wzh5	holdout
e712edl8	utvalg
e94vo73q	holdout
e9qhphrk	utvalg
edgvr7kh	utvalg
ednfoaw7	holdout
egkot7uc	utvalg
en9kqh4d	holdout
f0qj0jtu	holdout
fbpmvwp0	utvalg
feenl2q4	holdout
fioak4p1	utvalg
flvjyrky	holdout
fsv6dbl2	utvalg
fw8mf98a	holdout
g7gb4guh	holdout
gg78gk27	holdout
goryepil	utvalg
grj4nmyg	utvalg
gysob8d1	utvalg
h2t2dr99	holdout
h3lso13g	utvalg
h4zpfp6g	utvalg
h6xk771m	holdout
hfaqboil	utvalg
hftag4gs	holdout
hi7ou5ug	utvalg
hlnj90so	utvalg
hspeahsf	holdout
htlqzhj7	holdout
hw6p7soa	utvalg
hyq521o6	utvalg
ibccwcdc	utvalg
iflysdxx	utvalg
ig7r93j7	holdout
ihwb5r1b	holdout
iq7tjncv	utvalg
j12nhtyi	holdout
jg9vkuc4	utvalg
jo19ogi9	holdout
jqtpdgnb	utvalg
jttdwel4	utvalg
k0g2v1pv	holdout
k71qi99z	utvalg
k8ex4zk8	utvalg
kn6juu63	holdout
kzrt0rtx	holdout
l9l64pnk	holdout
lcuj7qsr	holdout
lr9is8cb	utvalg
lv3jcvz8	utvalg
m1yoebyj	utvalg
m91esmj5	utvalg
mpji72fw	holdout
msynfz1y	holdout
mtj54rwh	utvalg
mxp9hl3f	holdout
n2zr3o43	utvalg
n5bc8vbm	utvalg
na5f5ld3	holdout
nbk5gl08	utvalg
ndoq44l4	holdout
nn5l4p6f	utvalg
nq2ok9oa	utvalg
o0k0s8xx	utvalg
o12xk360	utvalg
o8wv5ig6	utvalg
of22a0yb	utvalg
on7u2y4y	utvalg
osksg2js	utvalg
p1cl7atj	holdout
p1tmmvh0	holdout
p3vmboew	utvalg
piwuqyp6	holdout
por4mvlh	holdout
pzvboocj	holdout
q1v1mt3k	holdout
q4s4fs7q	utvalg
q55qwr4u	utvalg
qhss10e5	utvalg
qtrmq7a8	utvalg
qvlntipz	holdout
qwg6kk7f	holdout
r3a1b1eg	holdout
r9kjkkh7	holdout
rb8zmz69	utvalg
rd2mvg8z	holdout
rg7qwxqe	utvalg
rkya2aja	utvalg
rxjyiqti	holdout
s1m3bjwg	holdout
s2nmbxos	utvalg
s912jx9m	utvalg
s9himh1j	holdout
sfm6465l	utvalg
sor56g1i	holdout
sv3qe2le	holdout
t9hpliki	utvalg
tbsdsxok	utvalg
tcf98hkf	utvalg
tehfd2u0	utvalg
tjfuew64	utvalg
tl66u19h	holdout
ts4jif1i	holdout
tvvn4rmj	holdout
u11byqbz	holdout
u5n8y12k	utvalg
u81nf1eg	holdout
u9j0nr78	holdout
ulavwiet	utvalg
uwmocmfw	holdout
v672d7ox	holdout
vixzvx7h	utvalg
vjwyo9hj	utvalg
voznddau	utvalg
w2yl2u3j	holdout
w3i7rwmn	utvalg
wilis14u	holdout
wjm3kidn	holdout
x0toq2at	utvalg
x9u4fap2	utvalg
xek9kq5j	utvalg
xf0kw1ty	utvalg
xh6u9na9	utvalg
xhvqek7x	holdout
xp6fallx	holdout
xpu7oqnq	utvalg
xqtgeubq	holdout
xx6stdyg	holdout
y15010t0	utvalg
y65liarp	utvalg
ybhh7bb9	holdout
ydw1dce1	holdout
ydxeud6l	utvalg
yhte1w1c	holdout
yiw2wf5x	utvalg
yjoak7nx	utvalg
ykump114	holdout
ylbjkltc	utvalg
yonlt8kf	utvalg
yoyxbnbo	utvalg
yr41ixpf	utvalg
yt6ygfq0	utvalg
yv6drff1	holdout
yzb3dpf8	utvalg
z2dlz9qx	utvalg
zghyf6ee	utvalg
zhaazjz7	holdout
ztlufhng	holdout
zu4ymcn7	utvalg
